dataset,design,holdout,model,method,iter,n_train,n_test,auc,acer,apcer,bpcer,acc,dev_eer,train_loss,train_acc
CASIA-SURF,within,,resnet50,IBT-reverse-s4,3,12000,24000,0.9195,0.1441,0.1492,0.1390,0.8538,0.1291,0.0000,1.0000
CASIA-SURF,within,,resnet50,standard-s1,1,20000,24000,0.9046,0.1713,0.1886,0.1540,0.8218,0.1736,0.0007,0.9999
CASIA-SURF,within,,resnet50,standard-s2,1,20000,24000,0.9168,0.1653,0.1502,0.1804,0.8407,0.1419,0.0001,1.0000
CASIA-SURF,within,,resnet50,standard-s0,2,20000,24000,0.8268,0.2605,0.2702,0.2508,0.7356,0.2287,0.0000,1.0000
CASIA-SURF,within,,resnet50,standard-s1,2,20000,24000,0.8314,0.2494,0.2494,0.2494,0.7506,0.2261,0.0044,0.9993
CASIA-SURF,within,,resnet50,IBT-reverse-s4,4,20000,24000,0.8784,0.2067,0.2155,0.1980,0.7897,0.2092,0.0000,1.0000
CASIA-SURF,within,,resnet50,standard-s2,2,20000,24000,0.9210,0.1506,0.1570,0.1441,0.8469,0.1340,0.0000,1.0000
CASIA-SURF,within,,resnet50,standard-s0,3,20000,24000,0.8474,0.2323,0.2588,0.2059,0.7571,0.2048,0.0000,1.0000
CASIA-SURF,within,,resnet50,standard-s1,3,20000,24000,0.8483,0.2283,0.2458,0.2107,0.7647,0.2121,0.0001,1.0000
CASIA-SURF,within,,resnet50,standard-s3,1,20000,24000,0.7305,0.3375,0.3498,0.3252,0.6576,0.3372,0.0027,0.9994
CASIA-SURF,within,,resnet50,standard-s2,3,20000,24000,0.9270,0.1463,0.1427,0.1500,0.8551,0.1315,0.0000,1.0000
CASIA-SURF,within,,resnet50,standard-s0,4,20000,24000,0.8502,0.2240,0.2704,0.1776,0.7575,0.2032,0.0000,1.0000
CASIA-SURF,within,,resnet50,standard-s1,4,20000,24000,0.8482,0.2299,0.2562,0.2037,0.7596,0.2066,0.0000,1.0000
CASIA-SURF,within,,resnet50,standard-s3,2,20000,24000,0.8578,0.2231,0.2295,0.2167,0.7744,0.2027,0.0000,1.0000
CASIA-SURF,within,,resnet50,standard-s2,4,20000,24000,0.7933,0.2884,0.3075,0.2693,0.7040,0.2896,0.0002,1.0000
CASIA-SURF,within,,resnet50,standard-s4,1,20000,24000,0.8075,0.2779,0.3134,0.2424,0.7079,0.2719,0.0004,0.9998
CASIA-FASD,xtype,replay,resnet50,IBT-freq-s0,1,12000,24000,0.9892,0.1834,0.3587,0.0080,0.8170,0.0000,0.0001,1.0000
CASIA-FASD,xtype,replay,resnet50,IBT-freq-s1,1,12000,24000,0.9814,0.2891,0.5738,0.0045,0.7114,0.0000,0.0000,1.0000
CASIA-SURF,within,,resnet50,standard-s3,3,20000,24000,0.8050,0.2668,0.2845,0.2490,0.7261,0.2418,0.0002,1.0000
CASIA-FASD,xtype,replay,resnet50,IBT-freq-s0,2,12000,24000,0.9213,0.4266,0.8411,0.0121,0.5742,0.0000,0.0000,1.0000
CASIA-SURF,within,,resnet50,standard-s4,2,20000,24000,0.6978,0.3766,0.3334,0.4197,0.6407,0.3524,0.0002,1.0000
CASIA-FASD,xtype,replay,resnet50,IBT-freq-s1,2,12000,24000,0.9847,0.3344,0.6671,0.0017,0.6662,0.0000,0.0000,1.0000
CASIA-SURF,within,,resnet50,standard-s3,4,20000,24000,0.8587,0.2069,0.2399,0.1738,0.7800,0.1926,0.0000,1.0000
CASIA-FASD,xtype,replay,resnet50,IBT-freq-s0,3,16000,24000,0.9566,0.3580,0.6993,0.0166,0.6427,0.0000,0.0000,1.0000
CASIA-FASD,xtype,replay,resnet50,IBT-freq-s1,3,16000,24000,0.9761,0.3158,0.6232,0.0084,0.6847,0.0000,0.0000,1.0000
CASIA-SURF,within,,resnet50,standard-s4,3,20000,24000,0.6959,0.3771,0.3779,0.3762,0.6226,0.3991,0.0009,0.9999
CASIA-FASD,xtype,replay,resnet50,IBT-freq-s2,1,12000,24000,0.9378,0.3039,0.5873,0.0204,0.6967,0.0000,0.0000,1.0000
CASIA-FASD,xtype,replay,resnet50,IBT-freq-s3,1,12000,24000,0.9755,0.3550,0.7031,0.0068,0.6457,0.0000,0.0000,1.0000
CASIA-FASD,xtype,replay,resnet50,IBT-freq-s4,1,12000,24000,0.9635,0.2180,0.4079,0.0280,0.7824,0.0023,0.0036,0.9991
CASIA-SURF,within,,resnet50,standard-s4,4,20000,24000,0.8347,0.2496,0.2655,0.2336,0.7440,0.2483,0.0000,1.0000
CASIA-FASD,xtype,replay,resnet50,IBT-freq-s2,2,12000,24000,0.9299,0.3233,0.6383,0.0084,0.6773,0.0000,0.0000,1.0000
CASIA-FASD,xtype,replay,resnet50,IBT-freq-s3,2,12000,24000,0.9501,0.2217,0.4129,0.0304,0.7787,0.0011,0.0000,1.0000
CASIA-FASD,xtype,replay,resnet50,IBT-freq-s4,2,12000,24000,0.9697,0.2455,0.4746,0.0165,0.7549,0.0000,0.0000,1.0000
CASIA-FASD,xtype,replay,resnet50,IBT-reverse-s0,1,12000,24000,0.9519,0.2656,0.5175,0.0137,0.7348,0.0000,0.0000,1.0000
CASIA-FASD,xtype,replay,resnet50,IBT-freq-s2,3,16000,24000,0.9538,0.3812,0.7625,0.0000,0.6195,0.0000,0.0000,1.0000
CASIA-FASD,xtype,replay,resnet50,IBT-freq-s3,3,16000,24000,0.9364,0.3158,0.6297,0.0019,0.6848,0.0000,0.0000,1.0000
CASIA-FASD,xtype,replay,resnet50,IBT-freq-s4,3,16000,24000,0.9616,0.2936,0.5743,0.0130,0.7069,0.0000,0.0000,1.0000
CASIA-FASD,xtype,replay,resnet50,IBT-reverse-s0,2,12000,24000,0.9609,0.2653,0.5053,0.0254,0.7351,0.0011,0.0000,1.0000
CASIA-FASD,xtype,replay,resnet50,IBT-reverse-s1,1,12000,24000,0.9612,0.2059,0.4017,0.0100,0.7945,0.0023,0.0000,1.0000
CASIA-FASD,xtype,replay,resnet50,IBT-reverse-s2,1,12000,24000,0.9644,0.2765,0.5452,0.0079,0.7240,0.0000,0.0000,1.0000
CASIA-FASD,xtype,replay,resnet50,IBT-reverse-s3,1,12000,24000,0.9626,0.2088,0.3942,0.0235,0.7915,0.0000,0.0000,1.0000
CASIA-FASD,xtype,replay,resnet50,IBT-reverse-s0,3,16000,24000,0.9606,0.3402,0.6721,0.0082,0.6604,0.0000,0.0000,1.0000
CASIA-FASD,xtype,replay,resnet50,IBT-reverse-s1,2,12000,24000,0.9649,0.1967,0.3828,0.0106,0.8036,0.0012,0.0024,0.9989
CASIA-FASD,xtype,replay,resnet50,IBT-reverse-s2,2,12000,24000,0.9744,0.2734,0.5389,0.0079,0.7271,0.0000,0.0000,1.0000
CASIA-FASD,xtype,replay,resnet50,IBT-reverse-s3,2,12000,24000,0.9511,0.3546,0.6897,0.0195,0.6460,0.0000,0.0020,0.9996
CASIA-FASD,xtype,replay,resnet50,IBT-reverse-s4,1,12000,24000,0.9414,0.2385,0.4638,0.0131,0.7620,0.0005,0.0046,0.9988
CASIA-FASD,xtype,replay,resnet50,IBT-reverse-s1,3,16000,24000,0.9701,0.3952,0.7889,0.0016,0.6055,0.0000,0.0000,1.0000
CASIA-FASD,xtype,replay,resnet50,IBT-reverse-s2,3,16000,24000,0.9731,0.3004,0.5870,0.0139,0.7001,0.0000,0.0000,1.0000
CASIA-FASD,xtype,replay,resnet50,IBT-reverse-s3,3,16000,24000,0.9637,0.4208,0.8351,0.0066,0.5799,0.0000,0.0000,1.0000
CASIA-FASD,xtype,replay,resnet50,IBT-reverse-s4,2,12000,24000,0.9627,0.3427,0.6828,0.0025,0.6580,0.0000,0.0000,1.0000
CASIA-FASD,xtype,replay,resnet50,standard-s0,1,16000,24000,0.9442,0.3656,0.7310,0.0002,0.6351,0.0000,0.0047,0.9984
CASIA-FASD,xtype,replay,resnet50,standard-s1,1,16000,24000,0.9776,0.1665,0.3003,0.0326,0.8338,0.0000,0.0001,1.0000
CASIA-FASD,xtype,replay,resnet50,IBT-reverse-s4,3,16000,24000,0.9610,0.4198,0.8396,0.0000,0.5810,0.0000,0.0000,1.0000
CASIA-FASD,xtype,replay,resnet50,standard-s2,1,16000,24000,0.9638,0.3922,0.7730,0.0115,0.6085,0.0000,0.0001,1.0000
CASIA-FASD,xtype,replay,resnet50,standard-s0,2,16000,24000,0.9365,0.3596,0.7172,0.0020,0.6410,0.0000,0.0000,1.0000
CASIA-FASD,xtype,replay,resnet50,standard-s1,2,16000,24000,0.9817,0.2336,0.4573,0.0100,0.7668,0.0000,0.0000,1.0000
CASIA-FASD,xtype,replay,resnet50,standard-s3,1,16000,24000,0.9602,0.3239,0.6396,0.0082,0.6767,0.0000,0.0000,1.0000
CASIA-FASD,xtype,replay,resnet50,standard-s2,2,16000,24000,0.9710,0.4142,0.8207,0.0078,0.5865,0.0000,0.0000,1.0000
CASIA-FASD,xtype,replay,resnet50,standard-s0,3,16000,24000,0.9657,0.3634,0.7263,0.0005,0.6372,0.0000,0.0000,1.0000
CASIA-FASD,xtype,replay,resnet50,standard-s1,3,16000,24000,0.9830,0.2861,0.5654,0.0067,0.7145,0.0000,0.0000,1.0000
CASIA-FASD,xtype,replay,resnet50,standard-s3,2,16000,24000,0.9637,0.3189,0.6270,0.0108,0.6817,0.0000,0.0023,0.9992
CASIA-FASD,xtype,replay,resnet50,standard-s2,3,16000,24000,0.9710,0.4083,0.8091,0.0075,0.5925,0.0000,0.0000,1.0000
CASIA-FASD,xtype,replay,resnet50,standard-s4,1,16000,24000,0.9615,0.3968,0.7935,0.0000,0.6040,0.0000,0.0001,1.0000
CASIA-FASD,xtype,replay,resnet50,standard-s3,3,16000,24000,0.9859,0.2894,0.5786,0.0002,0.7111,0.0000,0.0000,1.0000
CASIA-FASD,xtype,replay,resnet50,standard-s4,2,16000,24000,0.9694,0.3935,0.7870,0.0000,0.6072,0.0000,0.0000,1.0000
CASIA-FASD,xtype,replay,resnet50,standard-s4,3,16000,24000,0.9695,0.4056,0.8112,0.0000,0.5951,0.0000,0.0000,1.0000
HQ-WMCA,within,,resnet50,IBT-freq-s0,1,8764,6636,0.9524,0.0804,0.1507,0.0101,0.8641,0.0749,0.0001,1.0000
HQ-WMCA,within,,resnet50,IBT-freq-s1,1,8764,6636,0.9300,0.1828,0.2061,0.1595,0.7988,0.0682,0.0001,1.0000
HQ-WMCA,within,,resnet50,IBT-freq-s2,1,8764,6636,0.9105,0.1964,0.3066,0.0862,0.7165,0.0699,0.0002,1.0000
HQ-WMCA,within,,resnet50,IBT-freq-s3,1,8764,6636,0.9496,0.1359,0.1971,0.0747,0.8157,0.0432,0.0002,1.0000
HQ-WMCA,within,,resnet50,IBT-freq-s0,2,7620,6636,0.9657,0.0621,0.0998,0.0244,0.9081,0.0885,0.0001,1.0000
HQ-WMCA,within,,resnet50,IBT-freq-s1,2,7620,6636,0.8739,0.2839,0.1397,0.4282,0.8300,0.1851,0.0130,0.9970
HQ-WMCA,within,,resnet50,IBT-freq-s2,2,7620,6636,0.9127,0.1626,0.1958,0.1293,0.8112,0.1087,0.0017,0.9997
HQ-WMCA,within,,resnet50,IBT-freq-s3,2,7620,6636,0.9586,0.0730,0.0886,0.0575,0.9147,0.1300,0.0020,0.9999
HQ-WMCA,within,,resnet50,IBT-freq-s0,3,6852,6636,0.6589,0.4216,0.4178,0.4253,0.5814,0.6029,0.0003,0.9999
HQ-WMCA,within,,resnet50,IBT-freq-s1,3,6852,6636,0.8853,0.2499,0.1406,0.3592,0.8365,0.2470,0.0004,1.0000
HQ-WMCA,within,,resnet50,IBT-freq-s2,3,6852,6636,0.7938,0.2271,0.3034,0.1509,0.7126,0.3669,0.0001,1.0000
HQ-WMCA,within,,resnet50,IBT-freq-s3,3,6852,6636,0.8563,0.2510,0.1702,0.3319,0.8128,0.4538,0.0013,0.9997
HQ-WMCA,within,,resnet50,IBT-freq-s0,4,6804,6636,0.9164,0.1425,0.2017,0.0833,0.8107,0.3585,0.0002,1.0000
HQ-WMCA,within,,resnet50,IBT-freq-s1,4,6804,6636,0.9628,0.0864,0.0837,0.0891,0.9158,0.1575,0.0001,1.0000
HQ-WMCA,within,,resnet50,IBT-freq-s2,4,6804,6636,0.9475,0.1094,0.1254,0.0934,0.8779,0.1367,0.0003,1.0000
HQ-WMCA,within,,resnet50,IBT-freq-s3,4,6804,6636,0.9335,0.1494,0.1207,0.1782,0.8733,0.2252,0.0001,1.0000
HQ-WMCA,within,,resnet50,IBT-freq-s0,5,6144,6636,0.9489,0.0997,0.1247,0.0747,0.8805,0.2633,0.0001,1.0000
HQ-WMCA,within,,resnet50,IBT-freq-s1,5,6144,6636,0.9539,0.1132,0.0899,0.1365,0.9052,0.1283,0.0001,1.0000
HQ-WMCA,within,,resnet50,IBT-freq-s2,5,6144,6636,0.9545,0.1174,0.1027,0.1322,0.8942,0.0756,0.0002,1.0000
HQ-WMCA,within,,resnet50,IBT-freq-s3,5,6144,6636,0.9457,0.1273,0.0965,0.1580,0.8971,0.1674,0.0001,1.0000
HQ-WMCA,within,,resnet50,IBT-freq-s0,6,5940,6636,0.9339,0.1194,0.1411,0.0977,0.8635,0.3892,0.0001,1.0000
HQ-WMCA,within,,resnet50,IBT-freq-s1,6,5940,6636,0.9455,0.1669,0.0896,0.2443,0.8942,0.1231,0.0000,1.0000
HQ-WMCA,within,,resnet50,IBT-freq-s2,6,5940,6636,0.8965,0.1772,0.1446,0.2098,0.8486,0.3128,0.0001,1.0000
HQ-WMCA,within,,resnet50,IBT-freq-s3,6,5940,6636,0.8940,0.2017,0.1677,0.2356,0.8252,0.4727,0.0001,1.0000
HQ-WMCA,within,,resnet50,IBT-freq-s0,7,5868,6636,0.8475,0.2066,0.1675,0.2457,0.8243,0.2590,0.0002,1.0000
HQ-WMCA,within,,resnet50,IBT-freq-s1,7,5868,6636,0.9004,0.1513,0.1145,0.1882,0.8778,0.2598,0.0002,1.0000
HQ-WMCA,within,,resnet50,IBT-freq-s2,7,5868,6636,0.8670,0.2152,0.2508,0.1796,0.7566,0.3047,0.0010,0.9998
HQ-WMCA,within,,resnet50,IBT-freq-s3,7,5868,6636,0.7828,0.2980,0.1665,0.4296,0.8059,0.3349,0.0024,0.9995
HQ-WMCA,within,,resnet50,IBT-freq-s0,8,5688,6636,0.9316,0.1253,0.0911,0.1595,0.9017,0.2436,0.0002,1.0000
HQ-WMCA,within,,resnet50,IBT-freq-s1,8,5688,6636,0.9207,0.1409,0.1108,0.1710,0.8829,0.2609,0.0001,1.0000
HQ-WMCA,within,,resnet50,IBT-freq-s2,8,5688,6636,0.9263,0.1361,0.0811,0.1911,0.9073,0.1500,0.0002,1.0000
HQ-WMCA,within,,resnet50,IBT-freq-s3,8,5688,6636,0.9236,0.1583,0.1370,0.1796,0.8585,0.1978,0.0004,1.0000
HQ-WMCA,within,,resnet50,IBT-freq-s0,9,5388,6636,0.9535,0.1121,0.0820,0.1422,0.9117,0.2035,0.0003,1.0000
HQ-WMCA,within,,resnet50,IBT-freq-s1,9,5388,6636,0.8871,0.2174,0.1488,0.2859,0.8368,0.2542,0.0003,1.0000
HQ-WMCA,within,,resnet50,IBT-freq-s2,9,5388,6636,0.8701,0.1895,0.2237,0.1552,0.7835,0.2967,0.0002,1.0000
HQ-WMCA,within,,resnet50,IBT-freq-s3,9,5388,6636,0.8210,0.2804,0.1973,0.3635,0.7853,0.2974,0.0005,1.0000
HQ-WMCA,within,,resnet50,IBT-freq-s0,10,5340,6636,0.9492,0.0885,0.1167,0.0603,0.8892,0.1857,0.0002,1.0000
HQ-WMCA,within,,resnet50,IBT-freq-s1,10,5340,6636,0.9103,0.1893,0.1214,0.2572,0.8644,0.1749,0.0003,1.0000
HQ-WMCA,within,,resnet50,IBT-freq-s2,10,5340,6636,0.8651,0.2047,0.2098,0.1997,0.7913,0.2281,0.0002,1.0000
HQ-WMCA,within,,resnet50,IBT-freq-s3,10,5340,6636,0.8958,0.1546,0.2202,0.0891,0.7936,0.2360,0.0004,1.0000
HQ-WMCA,within,,resnet50,IBT-freq-s0,11,21532,6636,0.9994,0.0168,0.0337,0.0000,0.9699,0.0314,0.0019,0.9994
HQ-WMCA,within,,resnet50,IBT-freq-s1,11,21532,6636,0.9994,0.0322,0.0643,0.0000,0.9424,0.0465,0.0018,0.9997
HQ-WMCA,within,,resnet50,IBT-freq-s2,11,21532,6636,0.9984,0.0209,0.0231,0.0187,0.9774,0.0407,0.0002,1.0000
HQ-WMCA,within,,resnet50,IBT-freq-s3,11,21532,6636,0.9981,0.0088,0.0175,0.0000,0.9843,0.0401,0.0025,0.9996
HQ-WMCA,within,,resnet50,IBT-freq-s4,1,8764,6636,0.9475,0.1374,0.1815,0.0934,0.8278,0.0401,0.0020,0.9997
HQ-WMCA,within,,resnet50,IBT-reverse-s0,1,5340,6636,0.7058,0.4108,0.2655,0.5560,0.7040,0.4768,0.0002,1.0000
HQ-WMCA,within,,resnet50,IBT-reverse-s1,1,5340,6636,0.8263,0.2864,0.1877,0.3851,0.7916,0.2713,0.0002,1.0000
HQ-WMCA,within,,resnet50,IBT-reverse-s2,1,5340,6636,0.7600,0.3792,0.2081,0.5503,0.7560,0.2631,0.0001,1.0000
HQ-WMCA,within,,resnet50,IBT-reverse-s0,2,5388,6636,0.8001,0.2596,0.2247,0.2945,0.7679,0.3644,0.0002,1.0000
HQ-WMCA,within,,resnet50,IBT-freq-s4,2,7620,6636,0.8432,0.2552,0.2301,0.2802,0.7646,0.1784,0.0080,0.9978
HQ-WMCA,within,,resnet50,IBT-reverse-s1,2,5388,6636,0.7620,0.3231,0.1907,0.4555,0.7815,0.4545,0.0002,1.0000
HQ-WMCA,within,,resnet50,IBT-reverse-s2,2,5388,6636,0.7197,0.3138,0.2828,0.3448,0.7107,0.4522,0.0062,0.9980
HQ-WMCA,within,,resnet50,IBT-reverse-s0,3,5688,6636,0.9395,0.1751,0.0843,0.2658,0.8966,0.2181,0.0001,1.0000
HQ-WMCA,within,,resnet50,IBT-reverse-s1,3,5688,6636,0.8821,0.2159,0.1818,0.2500,0.8110,0.2341,0.0001,1.0000
HQ-WMCA,within,,resnet50,IBT-freq-s4,3,6852,6636,0.8879,0.2179,0.1714,0.2644,0.8189,0.2101,0.0001,1.0000
HQ-WMCA,within,,resnet50,IBT-reverse-s2,3,5688,6636,0.9054,0.2296,0.1229,0.3362,0.8547,0.2008,0.0002,1.0000
HQ-WMCA,within,,resnet50,IBT-reverse-s0,4,5868,6636,0.8654,0.2492,0.1551,0.3434,0.8252,0.2882,0.0003,1.0000
HQ-WMCA,within,,resnet50,IBT-reverse-s1,4,5868,6636,0.8743,0.1695,0.1106,0.2284,0.8770,0.2536,0.0003,1.0000
HQ-WMCA,within,,resnet50,IBT-freq-s4,4,6804,6636,0.9466,0.1412,0.0884,0.1940,0.9005,0.1240,0.0002,1.0000
HQ-WMCA,within,,resnet50,IBT-reverse-s2,4,5868,6636,0.8443,0.2106,0.2099,0.2112,0.7899,0.2945,0.0003,1.0000
HQ-WMCA,within,,resnet50,IBT-reverse-s0,5,5940,6636,0.9038,0.1930,0.1460,0.2399,0.8442,0.3892,0.0002,1.0000
HQ-WMCA,within,,resnet50,IBT-reverse-s1,5,5940,6636,0.9232,0.1535,0.0843,0.2227,0.9011,0.2306,0.0001,1.0000
HQ-WMCA,within,,resnet50,IBT-freq-s4,5,6144,6636,0.9514,0.1211,0.0798,0.1624,0.9115,0.1111,0.0001,1.0000
HQ-WMCA,within,,resnet50,IBT-reverse-s2,5,5940,6636,0.8546,0.2538,0.2503,0.2572,0.7489,0.3410,0.0001,1.0000
HQ-WMCA,within,,resnet50,IBT-reverse-s0,6,6144,6636,0.9665,0.0876,0.0919,0.0833,0.9090,0.1708,0.0002,1.0000
HQ-WMCA,within,,resnet50,IBT-reverse-s1,6,6144,6636,0.9099,0.2466,0.1182,0.3750,0.8549,0.2501,0.0001,1.0000
HQ-WMCA,within,,resnet50,IBT-freq-s4,6,5940,6636,0.9461,0.1617,0.0806,0.2428,0.9024,0.1024,0.0000,1.0000
HQ-WMCA,within,,resnet50,IBT-reverse-s2,6,6144,6636,0.8976,0.2214,0.1224,0.3204,0.8568,0.2490,0.0002,1.0000
HQ-WMCA,within,,resnet50,IBT-reverse-s0,7,6804,6636,0.9537,0.1131,0.0840,0.1422,0.9099,0.1667,0.0002,1.0000
HQ-WMCA,within,,resnet50,IBT-freq-s4,7,5868,6636,0.8543,0.1828,0.1515,0.2141,0.8419,0.1920,0.0001,1.0000
HQ-WMCA,within,,resnet50,IBT-reverse-s1,7,6804,6636,0.9425,0.1415,0.0992,0.1839,0.8920,0.3232,0.0001,1.0000
HQ-WMCA,within,,resnet50,IBT-reverse-s2,7,6804,6636,0.9194,0.2169,0.0774,0.3563,0.8933,0.3047,0.0002,1.0000
HQ-WMCA,within,,resnet50,IBT-reverse-s0,8,6852,6636,0.9475,0.1554,0.0810,0.2299,0.9034,0.2107,0.0001,1.0000
HQ-WMCA,within,,resnet50,IBT-freq-s4,8,5688,6636,0.8767,0.1718,0.1310,0.2126,0.8605,0.1801,0.0001,1.0000
HQ-WMCA,within,,resnet50,IBT-reverse-s1,8,6852,6636,0.9223,0.1792,0.1214,0.2371,0.8665,0.3836,0.0000,1.0000
HQ-WMCA,within,,resnet50,IBT-reverse-s2,8,6852,6636,0.8611,0.2421,0.1768,0.3075,0.8095,0.3095,0.0011,0.9997
HQ-WMCA,within,,resnet50,IBT-freq-s4,9,5388,6636,0.7695,0.3015,0.3084,0.2945,0.6930,0.1557,0.0012,1.0000
HQ-WMCA,within,,resnet50,IBT-reverse-s0,9,7620,6636,0.9423,0.1499,0.0800,0.2198,0.9054,0.1645,0.0003,1.0000
HQ-WMCA,within,,resnet50,IBT-reverse-s1,9,7620,6636,0.9221,0.1731,0.0976,0.2486,0.8865,0.2498,0.0003,1.0000
HQ-WMCA,within,,resnet50,IBT-reverse-s2,9,7620,6636,0.9578,0.0883,0.0875,0.0891,0.9123,0.1916,0.0002,1.0000
HQ-WMCA,within,,resnet50,IBT-freq-s4,10,5340,6636,0.8340,0.2242,0.2502,0.1983,0.7553,0.0799,0.0002,1.0000
HQ-WMCA,within,,resnet50,IBT-reverse-s0,10,8764,6636,0.9953,0.0432,0.0850,0.0014,0.9237,0.0319,0.0002,1.0000
HQ-WMCA,within,,resnet50,IBT-reverse-s1,10,8764,6636,0.9858,0.1017,0.2005,0.0029,0.8202,0.0832,0.0003,1.0000
HQ-WMCA,within,,resnet50,IBT-reverse-s2,10,8764,6636,0.9965,0.0680,0.1360,0.0000,0.8782,0.0330,0.0004,1.0000
HQ-WMCA,within,,resnet50,IBT-freq-s4,11,21532,6636,1.0000,0.0042,0.0084,0.0000,0.9925,0.0267,0.0132,0.9960
HQ-WMCA,within,,resnet50,IBT-reverse-s0,11,21532,6636,0.9994,0.0103,0.0163,0.0043,0.9849,0.0357,0.0001,1.0000
HQ-WMCA,within,,resnet50,IBT-reverse-s1,11,21532,6636,0.9985,0.0108,0.0173,0.0043,0.9840,0.0499,0.0022,0.9994
HQ-WMCA,within,,resnet50,IBT-reverse-s2,11,21532,6636,0.9959,0.0249,0.0197,0.0302,0.9792,0.0300,0.0002,1.0000
HQ-WMCA,within,,resnet50,IBT-reverse-s3,1,5340,6636,0.8353,0.3061,0.1365,0.4756,0.8279,0.2898,0.0002,1.0000
HQ-WMCA,within,,resnet50,IBT-reverse-s4,1,5340,6636,0.7971,0.3764,0.1264,0.6264,0.8211,0.3276,0.0002,1.0000
HQ-WMCA,within,,resnet50,IBT-reverse-s3,2,5388,6636,0.7398,0.3395,0.2207,0.4583,0.7544,0.5282,0.0004,1.0000
HQ-WMCA,within,,resnet50,IBT-reverse-s4,2,5388,6636,0.7637,0.3100,0.2091,0.4109,0.7697,0.4345,0.0002,1.0000
HQ-WMCA,within,,resnet50,IBT-reverse-s3,3,5688,6636,0.9252,0.1543,0.1204,0.1882,0.8725,0.1999,0.0002,1.0000
HQ-WMCA,within,,resnet50,standard-s0,1,21532,6636,0.9964,0.0481,0.0847,0.0115,0.9230,0.0241,0.0038,0.9987
HQ-WMCA,within,,resnet50,IBT-reverse-s4,3,5688,6636,0.8456,0.2832,0.1426,0.4239,0.8279,0.2175,0.0001,1.0000
HQ-WMCA,within,,resnet50,standard-s1,1,21532,6636,0.9992,0.0089,0.0150,0.0029,0.9863,0.0357,0.0108,0.9966
HQ-WMCA,within,,resnet50,IBT-reverse-s3,4,5868,6636,0.7737,0.2869,0.2089,0.3649,0.7747,0.4040,0.0005,1.0000
HQ-WMCA,within,,resnet50,IBT-reverse-s4,4,5868,6636,0.7543,0.2917,0.2601,0.3233,0.7333,0.3798,0.0004,1.0000
HQ-WMCA,within,,resnet50,IBT-reverse-s3,5,5940,6636,0.8185,0.2832,0.1584,0.4080,0.8154,0.4278,0.0001,1.0000
HQ-WMCA,within,,resnet50,IBT-reverse-s4,5,5940,6636,0.8299,0.2627,0.1806,0.3448,0.8021,0.2965,0.0001,1.0000
HQ-WMCA,within,,resnet50,standard-s0,2,21532,6636,0.9996,0.0101,0.0072,0.0129,0.9922,0.0292,0.0000,1.0000
HQ-WMCA,within,,resnet50,standard-s1,2,21532,6636,0.9988,0.0255,0.0108,0.0402,0.9861,0.0387,0.0000,1.0000
HQ-WMCA,within,,resnet50,IBT-reverse-s3,6,6144,6636,0.9017,0.2254,0.1463,0.3046,0.8371,0.2830,0.0002,1.0000
HQ-WMCA,within,,resnet50,IBT-reverse-s4,6,6144,6636,0.8555,0.2794,0.1838,0.3750,0.7961,0.2293,0.0002,1.0000
HQ-WMCA,within,,resnet50,IBT-reverse-s3,7,6804,6636,0.9263,0.1680,0.1219,0.2141,0.8684,0.2266,0.0002,1.0000
HQ-WMCA,within,,resnet50,IBT-reverse-s4,7,6804,6636,0.9374,0.1446,0.1109,0.1782,0.8820,0.2068,0.0004,1.0000
HQ-WMCA,within,,resnet50,IBT-reverse-s3,8,6852,6636,0.9287,0.1902,0.1074,0.2730,0.8752,0.2366,0.0001,1.0000
HQ-WMCA,within,,resnet50,standard-s0,3,21532,6636,0.9995,0.0158,0.0029,0.0287,0.9944,0.0292,0.0000,1.0000
HQ-WMCA,within,,resnet50,standard-s1,3,21532,6636,0.9904,0.0369,0.0091,0.0647,0.9851,0.0385,0.0000,1.0000
HQ-WMCA,within,,resnet50,IBT-reverse-s4,8,6852,6636,0.9402,0.1868,0.0963,0.2773,0.8847,0.2024,0.0001,1.0000
HQ-WMCA,within,,resnet50,IBT-reverse-s3,9,7620,6636,0.9263,0.1657,0.1187,0.2126,0.8715,0.1889,0.0043,0.9980
HQ-WMCA,within,,resnet50,IBT-reverse-s4,9,7620,6636,0.9488,0.1467,0.0894,0.2040,0.8986,0.1578,0.0001,1.0000
HQ-WMCA,within,,resnet50,IBT-reverse-s3,10,8764,6636,0.9859,0.0831,0.1589,0.0072,0.8570,0.0684,0.0007,0.9999
HQ-WMCA,within,,resnet50,standard-s0,4,21532,6636,0.9983,0.0237,0.0086,0.0388,0.9882,0.0222,0.0000,1.0000
HQ-WMCA,within,,resnet50,IBT-reverse-s4,10,8764,6636,0.9973,0.0342,0.0655,0.0029,0.9411,0.0191,0.0009,0.9999
HQ-WMCA,within,,resnet50,standard-s1,4,21532,6636,0.9974,0.0307,0.0082,0.0532,0.9870,0.0352,0.0000,1.0000
HQ-WMCA,within,,resnet50,IBT-reverse-s3,11,21532,6636,0.9985,0.0284,0.0411,0.0158,0.9616,0.0509,0.0001,1.0000
HQ-WMCA,within,,resnet50,standard-s0,5,21532,6636,0.9984,0.0242,0.0096,0.0388,0.9873,0.0238,0.0000,1.0000
